instance_id;value;time
Cube_11;0.748810394;20.61049318
Cube_12;0.700212895;19.74212742
Cube_13;0.756116884;21.56435299
Cube_14;0.607208419;19.85553241
Cube_15;0.755767959;23.17839289
5-Cube_0;0.964873682;25.63795018
5-Cube_1;0.783011851;26.17474484
5-Cube_2;0.823414759;25.96264267
5-Cube_3;0.935917809;28.81555104
5-Cube_4;0.91461071;38.75207353
5-Cube_5;0.821496359;30.09372163
5-Cube_6;0.999496096;26.56120801
5-Cube_7;0.719462829;23.2712965
10-Cube_0;0.803326375;26.19780898
10-Cube_1;0.96480373;25.65713716
10-Cube_2;1.10480806;26.89499855
10-Cube_3;1.033735481;25.62924743
10-Cube_4;1.005538875;26.85100794
10-Cube_5;0.832430219;27.4215343
10-Cube_6;0.782317017;26.16108203
10-Cube_7;1.08683659;26.17436814
Circle_0;0.7103794;7.740449667
Circle_1;0.693185397;7.591334105
Circle_2;0.686737504;9.224899054
Circle_3;0.649620202;8.918530226
Circle_4;0.712227597;9.668591499
Circle_5;0.727622126;9.95147419
Circle_6;0.698230937;10.0203476
Circle_7;0.729229274;10.0845871
Circle_8;0.709955107;9.438768625
Circle_9;0.732159015;9.731909752
Circle_10;0.671442304;9.626562595
Circle_11;0.674412817;7.138265371
Circle_12;0.689502253;7.861619473
Circle_13;0.730709897;9.964036226
Circle_14;0.717456109;7.164832115
Circle_15;0.690206516;8.666513681
Sphere_0;0.822162484;20.49855328
Sphere_1;0.856192292;19.03159761
Sphere_2;0.871981799;20.3629806
Sphere_3;0.857775179;22.14560938
Sphere_4;0.856857282;21.08990288
Sphere_5;0.858130736;19.76844358
Sphere_6;0.872956298;23.23568869
Sphere_7;0.912670851;24.13754845
Sphere_8;0.845822593;19.65868115
Sphere_9;0.870498985;22.21606493
Sphere_10;0.872773613;21.63730431
Sphere_11;0.854027674;21.41397023
Sphere_12;0.878548818;21.23045182
Sphere_13;0.88379783;22.40590096
Sphere_14;0.864016388;21.17442608
Sphere_15;0.79136036;19.72428966
Urn_0;0.280747768;1.521254301
Urn_1;0.250711274;2.182352781
Urn_2;0.232471478;1.523729563
Urn_3;0.865280377;8.5972507
Urn_4;0.9050081;9.535652637
Urn_5;0.097098214;0.877942801
Urn_6;0.211061508;1.070689678
Urn_7;0.96640357;11.23031783
Urn_8;0.244258433;1.726174831
Urn_9;0.532902089;3.643978119
