instance_id;value;time
Cube_11;0.282738095;0.425917864
Cube_12;0.227678571;0.422894716
Cube_13;0.21577381;0.43505311
Cube_14;0.263392857;0.424830675
Cube_15;0.226934524;0.413270235
5-Cube_0;0.256696429;0.438569546
5-Cube_1;0.191964286;0.432075977
5-Cube_2;0.170386905;0.45611167
5-Cube_3;0.172619048;0.416623831
5-Cube_4;0.25;0.453531027
5-Cube_5;0.257440476;0.441073895
5-Cube_6;0.244791667;0.438451767
5-Cube_7;0.255952381;0.442242861
10-Cube_0;0.185267857;0.429733515
10-Cube_1;0.191220238;0.437086344
10-Cube_2;0.232142857;0.450623035
10-Cube_3;0.255952381;0.44718051
10-Cube_4;0.14360119;0.420057297
10-Cube_5;0.160714286;0.418591738
10-Cube_6;0.132440476;0.431850433
10-Cube_7;0.205357143;0.427811146
Circle_0;0.459821429;0.44292593
Circle_1;0.62202381;0.419917345
Circle_2;0.413690476;0.45119381
Circle_3;0.419642857;0.463413715
Circle_4;0.504464286;0.469075918
Circle_5;0.543154762;0.453986645
Circle_6;0.49702381;0.441462994
Circle_7;0.48139881;0.451136112
Circle_8;0.5;0.464395761
Circle_9;0.486607143;0.478883266
Circle_10;0.482142857;0.491749763
Circle_11;0.686011905;0.480583668
Circle_12;0.47172619;0.500416517
Circle_13;0.511904762;0.436375141
Circle_14;0.450892857;0.475937366
Circle_15;0.507440476;0.482076883
Sphere_0;0.406994048;0.443405867
Sphere_1;0.364583333;0.440732956
Sphere_2;0.44047619;0.41667366
Sphere_3;0.436011905;0.421989202
Sphere_4;0.412202381;0.437446833
Sphere_5;0.433035714;0.42859149
Sphere_6;0.337053571;0.437698841
Sphere_7;0.311755952;0.428069592
Sphere_8;0.427083333;0.428561687
Sphere_9;0.424107143;0.473678589
Sphere_10;0.381696429;0.459959984
Sphere_11;0.296875;0.446817875
Sphere_12;0.41889881;0.446765423
Sphere_13;0.397321429;0.473674536
Sphere_14;0.425595238;0.515203714
Sphere_15;0.457589286;0.454191208
Urn_0;0.336309524;0.487046242
Urn_1;0.085565476;0.488155842
Urn_2;0.15327381;0.448124409
Urn_3;0.230654762;0.459131718
Urn_4;0.212797619;0.496429205
Urn_5;0.1875;0.50155282
Urn_6;0.23139881;0.536168098
Urn_7;0.224702381;0.754836559
Urn_8;0.337797619;0.49306941
Urn_9;0.271577381;0.467488527
Urn_10;0.197916667;0.431312084
Urn_11;0.285714286;0.469173193
Urn_12;0.178571429;0.433110476
Urn_13;0.413690476;0.441046715
Urn_14;0.294642857;0.428357124
Urn_15;0.410714286;0.421633959
Urn_16;0.03125;0.483559608
Urn_17;0.118303571;0.436498642
Urn_18;0.261904762;0.435873985
Urn_19;0.283482143;0.461854935
Urn_20;0.119047619;0.480635405
Urn_21;0.103422619;0.469018936
Urn_22;0.3125;0.42567277
Urn_23;0.022321429;0.454752684
Urn_24;0.21875;0.493817329
Urn_25;0.285714286;0.410338879
Urn_26;0.193452381;0.433755875
Urn_27;0.280505952;0.452366352
Urn_28;0.265625;0.473935604
Urn_29;0.172619048;0.496108532
Urn_30;0.464285714;0.43807435
Urn_31;0.282738095;0.448513985
Urn_32;0.145833333;0.463762522
Urn_33;0.293154762;0.471711397
Urn_34;0.274553571;0.471742868
Urn_35;0.331845238;0.455336094
Urn_36;0.4375;0.460364819
Urn_37;0.340029762;0.44124341
Urn_38;0.438988095;0.446149826
Urn_39;0;0.442784548
Urn_40;0.5625;0.46348238
Urn_41;0.285714286;0.422295809
Urn_42;0.194940476;0.427867651
Urn_43;0.077380952;0.433894157
Urn_44;0.296130952;0.422621727
Urn_45;0.30952381;0.456218958
Urn_46;0.480654762;0.464338541
Urn_47;0.257440476;0.441795826
Mallows_0;0.136160714;0.411032677
Mallows_1;0.075892857;0.466153383
Mallows_2;0.014136905;0.537698746
Mallows_3;0.075892857;0.454568863
Mallows_4;0.061011905;0.410911083
Mallows_5;0.009672619;0.507331133
Mallows_6;0.015625;0.460660458
Mallows_7;0.046130952;0.497380495
Mallows_8;0.151785714;0.47329855
Mallows_9;0.159970238;0.519373417
Mallows_10;0.058035714;0.463986635
Mallows_11;0.020089286;0.474922657
Mallows_12;0.183779762;0.515008926
Mallows_13;0.067708333;0.444828749
Mallows_14;0.023809524;0.471448183
Mallows_15;0.074404762;0.424971819
Mallows_16;0.161458333;0.497907162
Mallows_17;0.01264881;0.471451998
Mallows_18;0.031994048;0.457142591
Mallows_19;0.026041667;0.429280996
Mallows_20;0.133928571;0.446439981
Mallows_21;0.019345238;0.506437778
Mallows_22;0.04389881;0.484802961
Mallows_23;0.069940476;0.439028502
Mallows_24;0.034970238;0.451596975
Mallows_25;0.010416667;0.569373846
Mallows_26;0.15327381;0.465951443
Mallows_27;0.017857143;0.494400978
Mallows_28;0.017857143;0.464286089
Mallows_29;0.229166667;0.478957415
Mallows_30;0.186011905;0.461203575
Mallows_31;0.052083333;0.468514919
Mallows_32;0.006696429;0.454693556
Mallows_33;0.171130952;0.466711521
Mallows_34;0.066964286;0.477875471
Mallows_35;0.154761905;0.444750309
Mallows_36;0.110119048;0.489375114
Mallows_37;0.016369048;0.465122461
Mallows_38;0.057291667;0.434278011
Mallows_39;0.080357143;0.426497221
Mallows_40;0.016369048;0.450241089
Mallows_41;0.116815476;0.445097208
Mallows_42;0.007440476;0.500887632
Mallows_43;0.128720238;0.506358147
Mallows_44;0.148809524;0.431493282
Mallows_45;0.01860119;0.437084675
Mallows_46;0.099702381;0.460031271
Mallows_47;0.009672619;0.437434912
UN_0;0.274553571;0.435649395
UN_1;0.256696429;0.436606407
UN_2;0.241071429;0.44740653
UN_3;0.233630952;0.484149694
ID;0;0.472221613
AN;1;0.482719183
UNSTA;0.188988095;0.461597443
UNSTB;0.155505952;0.477096081
UNSTC;0.132440476;0.451590061
ST_0;0.136160714;0.446543455
ST_1;0.132440476;0.471355915
ST_2;0.136904762;0.472038507
ST_3;0.123511905;0.433589697
IDSTA;0.089285714;0.462429523
IDSTB;0.061011905;0.488096714
IDSTC;0.040178571;0.485258102
IDAN_0;0.083333333;0.512948751
IDAN_1;0.166666667;0.44917798
IDAN_2;0.25;0.436530828
IDAN_3;0.333333333;0.425738096
IDAN_4;0.416666667;0.489348888
IDAN_5;0.5;0.508620024
IDAN_6;0.583333333;0.459102869
IDAN_7;0.666666667;0.468016148
IDAN_8;0.75;0.484433174
IDAN_9;0.833333333;0.481839657
IDAN_10;0.916666667;0.460967064
ANUN_0;0.930059524;0.459697485
ANUN_1;0.883928571;0.424892187
ANUN_2;0.806547619;0.445073366
ANUN_3;0.724702381;0.438904762
ANUN_4;0.680059524;0.487920761
ANUN_5;0.595238095;0.496424675
ANUN_6;0.540178571;0.5342834
ANUN_7;0.474702381;0.570129395
ANUN_8;0.453869048;0.575890541
ANUN_9;0.322916667;0.540966749
ANUN_10;0.282738095;0.574910402
Irish_0;0.182291667;0.585459232
Irish_1;0.168154762;0.455330849
Irish_2;0.144345238;0.472153425
Irish_3;0.279761905;0.459585905
Irish_4;0.223214286;0.478338242
Irish_5;0.173363095;0.443408489
Irish_6;0.15327381;0.425628185
Irish_7;0.099702381;0.445555449
Sushi_0;0.108630952;0.423749208
Sushi_1;0.102678571;0.472325087
Sushi_2;0.139136905;0.459370136
Sushi_3;0.165178571;0.492548943
Sushi_4;0.16889881;0.487687349
Sushi_5;0.12797619;0.447334051
Sushi_6;0.124255952;0.432114601
Sushi_7;0.173363095;0.44857955
Grenoble_0;0.114583333;0.470718145
Grenoble_1;0.12797619;0.440814018
Grenoble_2;0.133184524;0.487455845
Grenoble_3;0.15625;0.468113184
Grenoble_4;0.157738095;0.512491941
Grenoble_5;0.125;0.455531359
Grenoble_6;0.139880952;0.463349104
Grenoble_7;0.105654762;0.447595119
