instance_id;value;time
Mallows_0;0.638303874;26.7492702
Mallows_1;1.216659229;39.11221027
Mallows_2;0.967487877;29.74348402
Mallows_3;0.515269954;6.454174519
Mallows_4;1.135659115;28.17664528
Mallows_5;1.18494831;30.70928025
Mallows_6;0.853204302;28.6010232
Mallows_7;0.448364834;16.5747149
Mallows_8;0.64762416;26.23901105
Mallows_9;0.125566283;6.175750017
Mallows_10;1.216463622;28.89204097
Mallows_11;1.262103631;30.75702024
Mallows_12;1.090150168;27.73853183
Mallows_13;0.434512222;14.11013579
Mallows_14;0.445603582;11.76583815
Mallows_15;0.871317352;29.29688668
Mallows_16;0.393205539;11.65266395
Mallows_17;0.406330466;4.2248106
Mallows_18;0.93334365;29.09147024
Mallows_19;1.18181654;30.44979668
Mallows_20;0.408475206;8.873862028
Mallows_21;1.261734437;29.8141346
Mallows_22;0.860861815;26.59156656
Mallows_23;0.833996429;29.95450902
Mallows_24;0.300570161;14.66087842
Mallows_25;0.505493389;15.05079532
Mallows_26;0.840716455;27.9528296
Mallows_27;0.522159482;6.869368553
Mallows_28;0.923478547;28.22246313
Mallows_29;1.126926337;32.77712297
Mallows_30;0.01792728;3.183094978
Mallows_31;0.458067469;6.694395781
Mallows_32;0.35324911;22.56481624
Mallows_33;0.704817941;26.34814382
Mallows_34;0.819805123;28.20627856
Mallows_35;1.075573789;29.74422288
Mallows_36;0.768650523;27.59561062
Mallows_37;0.462252394;24.66546011
Mallows_38;0.704667039;26.49609542
Mallows_39;0.289574863;18.76611948
Mallows_40;0.408264757;20.79813838
Mallows_41;0.721198707;26.85198069
Mallows_42;0.328864373;10.62366271
Mallows_43;1.15637776;31.29918909
Mallows_44;0.274934753;19.21436214
Mallows_45;0.40266765;17.63671207
Mallows_46;0.808345475;29.30111885
Mallows_47;0.428401293;10.13900685
Mallows_48;0.726010927;29.58337045
Mallows_49;0.547491942;11.36607599
Mallows_50;0.511961661;17.64745569
Mallows_51;0.432153384;19.38668418
Mallows_52;1.166772632;35.79779363
Mallows_53;0.33375442;8.621870995
Mallows_54;0.753444405;29.56497097
Mallows_55;0.845874898;27.98507643
Mallows_56;0.608982926;20.70242262
Mallows_57;0.933343633;32.35251689
Mallows_58;0.339838906;8.304395676
Mallows_59;0.8220265;29.34093904
Mallows_60;0.275643517;11.44153452
Mallows_61;0.406718974;24.49775672
Mallows_62;1.032336717;28.33648729
Mallows_63;0.293184255;6.028698921
Mallows_64;0.20677101;4.840563536
Mallows_65;0.511107283;24.21216846
Mallows_66;0.538503372;16.91454959
Mallows_67;0.877028642;30.33147573
Mallows_68;0.284693715;15.13451743
Mallows_69;0.149980071;11.88855147
Mallows_70;0.613534262;25.74420643
Mallows_71;0.595961435;18.67957783
Mallows_72;0.580457827;28.57485843
Mallows_73;0.247019815;13.53779888
Mallows_74;0.441268075;9.58010745
Mallows_75;0.932949134;28.16670728
Mallows_76;0.97438754;29.75548911
Mallows_77;0.739989741;30.5490675
Mallows_78;0.076076872;5.598904133
Mallows_79;0.336354277;15.0953393
Mallows_80;0.256498956;7.391757011
Mallows_81;0.275829188;17.47905803
Mallows_82;1.212782822;30.49928951
Mallows_83;0.683859976;25.77077532
Mallows_84;1.087028754;30.94711566
Mallows_85;1.003080986;32.31937385
Mallows_86;0.860063273;29.72162628
Mallows_87;0.89947097;30.93088102
Mallows_88;0.45124638;13.94689894
Mallows_89;0.527284962;27.20649266
Mallows_90;0.658224476;28.18451381
Mallows_91;0.653653123;21.80619788
Mallows_92;0.871364216;27.68635941
Mallows_93;0.881266083;28.8967452
Mallows_94;0.293860317;5.281539917
Mallows_95;0.791881671;32.80337715
Mallows_96;0.476881224;19.33410192
Mallows_97;0.838252972;30.73969603
Mallows_98;0.973143917;31.10216999
Mallows_99;0.204806618;10.1902051
Mallows_100;0.501227511;9.644883633
Mallows_101;1.00015027;31.16108346
Mallows_102;1.109994732;26.92034698
Mallows_103;1.252478994;28.66011095
Mallows_104;0.075146595;2.252140284
Mallows_105;0.264611691;7.067980766
Mallows_106;0.396859468;18.64240789
Mallows_107;0.79154791;25.7806778
Mallows_108;0.543646985;22.65154219
Mallows_109;0.652125899;22.34632468
Mallows_110;0.516313117;23.60657215
Mallows_111;1.0073988;25.85063076
Mallows_112;0.173019416;2.046331167
Mallows_113;0.895084146;26.32291484
Mallows_114;1.229739388;27.30715728
Mallows_115;0.112357567;4.296958208
Mallows_116;1.105116123;26.74160361
Mallows_117;1.121267048;26.74885678
Mallows_118;0.813215857;26.91034818
Mallows_119;0.747407975;25.62440944
Mallows_120;0.884626374;26.92529249
Mallows_121;1.057174085;26.8417635
Mallows_122;0.222110615;1.8345294
Mallows_123;0.673039018;24.05371785
Mallows_124;0.944778975;27.81987429
Mallows_125;0.26183603;9.576107264
Mallows_126;0.945243641;25.46481419
Mallows_127;0.891429247;25.65566492
Mallows_128;0.329006254;13.69232178
Mallows_129;0.503674403;10.33769965
Mallows_130;1.091247829;27.30400348
Mallows_131;0.663649347;20.1036098
Mallows_132;0.340534391;7.054618359
Mallows_133;0.190795591;12.42162895
Mallows_134;0.538081346;20.60388923
Mallows_135;0.100323518;4.088745832
Mallows_136;0.558671007;21.36512947
Mallows_137;1.020509558;26.94660234
Mallows_138;0.167669052;8.844308853
Mallows_139;1.130223886;26.48651981
Mallows_140;0.523134312;23.35370159
