instance_id_1;instance_id_2;distance;time
Mallows_241;Mallows_321;587.0;37.49088382720947
Mallows_241;Mallows_322;523.0;38.43160581588745
Mallows_241;Mallows_323;576.0;28.704017877578735
Mallows_241;Mallows_324;230.0;32.040212631225586
Mallows_241;Mallows_325;697.0;38.20100283622742
Mallows_241;Mallows_326;706.0;34.64088177680969
Mallows_241;Mallows_327;86.0;33.39073586463928
Mallows_241;Mallows_328;696.0;24.962804317474365
Mallows_241;Mallows_329;698.0;21.047428369522095
Mallows_241;Mallows_330;600.0;17.463979959487915
Mallows_241;Mallows_331;756.0;18.934940814971924
Mallows_241;Mallows_332;437.0;21.166015625
Mallows_241;Mallows_333;672.0;38.58302307128906
Mallows_241;Mallows_334;453.0;34.20435404777527
Mallows_241;Mallows_335;698.0;39.02488136291504
Mallows_241;Mallows_336;273.0;33.21195602416992
Mallows_241;Mallows_337;267.0;33.650869369506836
Mallows_241;Mallows_338;482.0;36.43291473388672
Mallows_241;Mallows_339;497.0;34.570626735687256
Mallows_241;Mallows_340;362.0;32.095038652420044
Mallows_241;Mallows_341;172.0;23.60743522644043
Mallows_241;Mallows_342;231.0;19.206164121627808
Mallows_241;Mallows_343;732.0;18.540011882781982
Mallows_241;Mallows_344;469.0;21.693959712982178
Mallows_241;Mallows_345;355.0;33.61264109611511
Mallows_241;Mallows_346;268.0;18.502224683761597
Mallows_241;Mallows_347;457.0;14.697105646133423
Mallows_241;Mallows_348;688.0;20.30124282836914
Mallows_241;Mallows_349;672.0;37.88371992111206
Mallows_241;UN;959.0;34.70274758338928
Mallows_241;ID;660.0;28.066795587539673
Mallows_241;AN;724.0;24.085418939590454
Mallows_241;ST;713.0;26.73345685005188
Mallows_242;Mallows_243;949.0;17.469030141830444
Mallows_242;Mallows_244;793.0;19.097804069519043
Mallows_242;Mallows_245;486.0;21.886807680130005
Mallows_242;Mallows_246;495.0;34.389511823654175
Mallows_242;Mallows_247;740.0;23.417880535125732
Mallows_242;Mallows_248;747.0;17.711711406707764
Mallows_242;Mallows_249;541.0;21.54435420036316
Mallows_242;Mallows_250;763.0;17.54936194419861
Mallows_242;Mallows_251;480.0;33.38858079910278
Mallows_242;Mallows_252;447.0;26.685200929641724
Mallows_242;Mallows_253;470.0;32.71279549598694
Mallows_242;Mallows_254;462.0;28.409302473068237
Mallows_242;Mallows_255;459.0;24.368202686309814
Mallows_242;Mallows_256;443.0;18.081358671188354
Mallows_242;Mallows_257;431.0;19.140570402145386
Mallows_242;Mallows_258;435.0;19.93178629875183
Mallows_242;Mallows_259;461.0;31.824116945266724
Mallows_242;Mallows_260;599.0;36.65431332588196
Mallows_242;Mallows_261;452.0;27.566176891326904
Mallows_242;Mallows_262;584.0;21.2564480304718
Mallows_242;Mallows_263;656.0;22.888545513153076
Mallows_242;Mallows_264;799.0;17.606752157211304
Mallows_242;Mallows_265;483.0;21.006654262542725
Mallows_242;Mallows_266;718.0;23.78182339668274
Mallows_242;Mallows_267;642.0;40.64325308799744
Mallows_242;Mallows_268;775.0;33.47617959976196
Mallows_242;Mallows_269;507.0;37.642847537994385
Mallows_242;Mallows_270;780.0;37.36279630661011
Mallows_242;Mallows_271;457.0;32.34034538269043
Mallows_242;Mallows_272;752.0;35.40473556518555
Mallows_242;Mallows_273;918.0;30.139178037643433
Mallows_242;Mallows_274;499.0;22.158525466918945
Mallows_242;Mallows_275;434.0;20.898703813552856
Mallows_242;Mallows_276;501.0;40.476418018341064
Mallows_242;Mallows_277;679.0;25.159613370895386
Mallows_242;Mallows_278;585.0;24.960066556930542
Mallows_242;Mallows_279;722.0;18.779788732528687
Mallows_242;Mallows_280;675.0;24.956283807754517
Mallows_242;Mallows_281;892.0;19.088376760482788
Mallows_242;Mallows_282;876.0;31.31325101852417
Mallows_242;Mallows_283;623.0;35.90505838394165
Mallows_242;Mallows_284;490.0;28.027507305145264
Mallows_242;Mallows_285;457.0;20.320659160614014
Mallows_242;Mallows_286;629.0;31.283085823059082
Mallows_242;Mallows_287;523.0;20.475913286209106
Mallows_242;Mallows_288;510.0;23.586379289627075
Mallows_242;Mallows_289;804.0;16.548856019973755
Mallows_242;Mallows_290;468.0;18.66390061378479
Mallows_242;Mallows_291;590.0;34.9070303440094
