instance_id_1;instance_id_2;distance;time
Mallows_176;Mallows_309;697.0;37.922537088394165
Mallows_176;Mallows_310;524.0;31.470853805541992
Mallows_176;Mallows_311;575.0;23.227206468582153
Mallows_176;Mallows_312;573.0;20.690468788146973
Mallows_176;Mallows_313;515.0;29.498424768447876
Mallows_176;Mallows_314;670.0;26.324602842330933
Mallows_176;Mallows_315;641.0;38.37008571624756
Mallows_176;Mallows_316;970.0;29.306969165802002
Mallows_176;Mallows_317;715.0;27.55349636077881
Mallows_176;Mallows_318;1154.0;23.54577612876892
Mallows_176;Mallows_319;456.0;18.668020248413086
Mallows_176;Mallows_320;850.0;21.039398908615112
Mallows_176;Mallows_321;591.0;32.85393404960632
Mallows_176;Mallows_322;935.0;43.99233651161194
Mallows_176;Mallows_323;1206.0;29.801974773406982
Mallows_176;Mallows_324;880.0;35.44313621520996
Mallows_176;Mallows_325;725.0;38.18695425987244
Mallows_176;Mallows_326;776.0;40.85247540473938
Mallows_176;Mallows_327;658.0;22.59898567199707
Mallows_176;Mallows_328;374.0;21.78079581260681
Mallows_176;Mallows_329;728.0;26.69889783859253
Mallows_176;Mallows_330;284.0;32.45878314971924
Mallows_176;Mallows_331;380.0;27.41588830947876
Mallows_176;Mallows_332;421.0;25.220642566680908
Mallows_176;Mallows_333;266.0;43.285460233688354
Mallows_176;Mallows_334;337.0;18.500994205474854
Mallows_176;Mallows_335;662.0;20.24538016319275
Mallows_176;Mallows_336;723.0;31.407195568084717
Mallows_176;Mallows_337;869.0;25.15926957130432
Mallows_176;Mallows_338;704.0;35.69616222381592
Mallows_176;Mallows_339;655.0;38.439395904541016
Mallows_176;Mallows_340;994.0;34.83607482910156
Mallows_176;Mallows_341;838.0;32.6014838218689
Mallows_176;Mallows_342;591.0;39.340468883514404
Mallows_176;Mallows_343;228.0;36.452022314071655
Mallows_176;Mallows_344;455.0;36.73129892349243
Mallows_176;Mallows_345;389.0;37.42420983314514
Mallows_176;Mallows_346;464.0;30.278988361358643
Mallows_176;Mallows_347;1103.0;16.29146122932434
Mallows_176;Mallows_348;796.0;21.19834327697754
Mallows_176;Mallows_349;296.0;23.685667753219604
Mallows_176;UN;671.0;37.67773914337158
Mallows_176;ID;1282.0;14.083516597747803
Mallows_176;AN;326.0;22.194987058639526
Mallows_176;ST;931.0;35.774274587631226
Mallows_177;Mallows_178;350.0;24.617483615875244
Mallows_177;Mallows_179;911.0;26.17700743675232
Mallows_177;Mallows_180;1054.0;36.3887984752655
Mallows_177;Mallows_181;176.0;33.41620373725891
Mallows_177;Mallows_182;878.0;36.651711225509644
Mallows_177;Mallows_183;986.0;39.29304528236389
Mallows_177;Mallows_184;835.0;43.60868263244629
Mallows_177;Mallows_185;947.0;21.61442804336548
Mallows_177;Mallows_186;492.0;21.29071593284607
Mallows_177;Mallows_187;868.0;24.067266941070557
Mallows_177;Mallows_188;507.0;34.08190655708313
Mallows_177;Mallows_189;823.0;20.234033823013306
Mallows_177;Mallows_190;824.0;37.17496156692505
Mallows_177;Mallows_191;1046.0;40.17869710922241
Mallows_177;Mallows_192;777.0;20.171903610229492
Mallows_177;Mallows_193;249.0;21.796295404434204
Mallows_177;Mallows_194;581.0;28.33943510055542
Mallows_177;Mallows_195;185.0;27.77446675300598
Mallows_177;Mallows_196;782.0;41.88293170928955
Mallows_177;Mallows_197;566.0;38.32148575782776
Mallows_177;Mallows_198;496.0;31.476078748703003
Mallows_177;Mallows_199;1034.0;24.30644917488098
Mallows_177;Mallows_200;339.0;35.47639083862305
Mallows_177;Mallows_201;913.0;27.714439153671265
Mallows_177;Mallows_202;256.0;18.958153247833252
Mallows_177;Mallows_203;989.0;31.85956335067749
Mallows_177;Mallows_204;796.0;21.251171588897705
Mallows_177;Mallows_205;512.0;21.97798180580139
Mallows_177;Mallows_206;291.0;28.92367386817932
Mallows_177;Mallows_207;1061.0;37.80411887168884
Mallows_177;Mallows_208;272.0;35.64100623130798
Mallows_177;Mallows_209;380.0;31.964816093444824
Mallows_177;Mallows_210;853.0;20.622092247009277
Mallows_177;Mallows_211;497.0;24.88895559310913
Mallows_177;Mallows_212;714.0;39.278656005859375
Mallows_177;Mallows_213;525.0;27.166133642196655
Mallows_177;Mallows_214;599.0;23.526952981948853
Mallows_177;Mallows_215;441.0;32.987141847610474
Mallows_177;Mallows_216;614.0;38.88742280006409
Mallows_177;Mallows_217;1077.0;34.601802825927734
Mallows_177;Mallows_218;416.0;31.33076572418213
Mallows_177;Mallows_219;500.0;22.254717350006104
Mallows_177;Mallows_220;1025.0;20.81922936439514
Mallows_177;Mallows_221;652.0;28.258915901184082
Mallows_177;Mallows_222;328.0;18.737242221832275
Mallows_177;Mallows_223;919.0;20.39585041999817
Mallows_177;Mallows_224;1006.0;25.451260089874268
Mallows_177;Mallows_225;975.0;36.85440135002136
Mallows_177;Mallows_226;500.0;35.39420962333679
Mallows_177;Mallows_227;992.0;36.763922691345215
Mallows_177;Mallows_228;1022.0;33.25879120826721
Mallows_177;Mallows_229;874.0;18.723496675491333
Mallows_177;Mallows_230;605.0;25.705636978149414
Mallows_177;Mallows_231;396.0;39.2819550037384
Mallows_177;Mallows_232;497.0;25.26386523246765
Mallows_177;Mallows_233;945.0;20.377047300338745
Mallows_177;Mallows_234;884.0;22.696598052978516
