instance_id_1;instance_id_2;distance;time
Urn_10;Urn_34;557.0;27.136646270751953
Urn_10;Urn_35;481.0;16.95116090774536
Urn_10;Urn_36;743.0;18.57154870033264
Urn_10;Urn_37;614.0;16.578494548797607
Urn_10;Urn_38;566.0;17.7125825881958
Urn_10;Urn_39;478.0;16.077601671218872
Urn_10;Urn_40;681.0;16.710209369659424
Urn_10;Urn_41;669.0;19.552299737930298
Urn_10;Urn_42;891.0;20.347622394561768
Urn_10;Urn_43;458.0;15.038788318634033
Urn_10;Urn_44;645.0;17.65526008605957
Urn_10;Urn_45;682.0;22.020352602005005
Urn_10;Urn_46;667.0;33.5841166973114
Urn_10;Urn_47;687.0;35.9392876625061
Urn_10;Mallows_0;781.0;38.53155064582825
Urn_10;Mallows_1;581.0;36.78371810913086
Urn_10;Mallows_2;449.0;30.912956953048706
Urn_10;Mallows_3;574.0;26.928309440612793
Urn_10;Mallows_4;650.0;25.895748615264893
Urn_10;Mallows_5;439.0;17.046538591384888
Urn_10;Mallows_6;455.0;17.880221128463745
Urn_10;Mallows_7;581.0;19.774569511413574
Urn_10;Mallows_8;895.0;21.395527601242065
Urn_10;Mallows_9;847.0;25.859911918640137
Urn_10;Mallows_10;582.0;24.14000654220581
Urn_10;Mallows_11;479.0;17.872900247573853
Urn_10;Mallows_12;847.0;23.220142364501953
Urn_10;Mallows_13;613.0;20.138234853744507
Urn_10;Mallows_14;472.0;33.49756932258606
Urn_10;Mallows_15;670.0;38.68926692008972
Urn_10;Mallows_16;894.0;23.709572076797485
Urn_10;Mallows_17;445.0;16.84120273590088
Urn_10;Mallows_18;539.0;19.91683006286621
Urn_10;Mallows_19;498.0;20.480098485946655
Urn_10;Mallows_20;802.0;20.415093660354614
Urn_10;Mallows_21;469.0;18.48860216140747
Urn_10;Mallows_22;601.0;20.417564630508423
Urn_10;Mallows_23;655.0;23.102250337600708
Urn_10;Mallows_24;493.0;19.713411569595337
Urn_10;Mallows_25;441.0;17.94150996208191
Urn_10;Mallows_26;852.0;39.75182390213013
Urn_10;Mallows_27;468.0;34.00280547142029
Urn_10;Mallows_28;453.0;20.082576990127563
Urn_10;Mallows_29;899.0;20.61632251739502
Urn_10;Mallows_30;913.0;20.49884796142578
Urn_10;Mallows_31;543.0;20.350727796554565
Urn_10;Mallows_32;451.0;22.642877340316772
Urn_10;Mallows_33;920.0;20.602970600128174
Urn_10;Mallows_34;617.0;19.69595766067505
Urn_10;Mallows_35;834.0;22.002620220184326
Urn_10;Mallows_36;756.0;24.683624982833862
Urn_10;Mallows_37;461.0;31.212918758392334
Urn_10;Mallows_38;640.0;38.936896324157715
Urn_10;Mallows_39;677.0;35.197338342666626
Urn_10;Mallows_40;461.0;17.123251914978027
Urn_10;Mallows_41;759.0;21.017823457717896
Urn_10;Mallows_42;450.0;14.500756978988647
Urn_10;Mallows_43;802.0;23.30229425430298
Urn_10;Mallows_44;838.0;20.783015966415405
Urn_10;Mallows_45;474.0;18.05337929725647
Urn_10;Mallows_46;612.0;19.610053777694702
Urn_10;Mallows_47;437.0;18.312756538391113
Urn_10;UN_0;982.0;39.874507665634155
Urn_10;UN_1;987.0;33.68860459327698
Urn_10;UN_2;992.0;23.75967764854431
Urn_10;UN_3;991.0;20.665825366973877
Urn_10;ID;478.0;15.656301498413086
Urn_10;AN;866.0;15.516849517822266
Urn_10;UNSTA;825.0;30.60839605331421
Urn_10;UNSTB;716.0;35.80897331237793
Urn_10;UNSTC;634.0;34.760332345962524
Urn_10;ST_0;567.0;34.202088356018066
Urn_10;ST_1;567.0;32.121299266815186
Urn_10;ST_2;566.0;28.419705152511597
Urn_10;ST_3;575.0;17.66315793991089
Urn_10;IDSTA;525.0;17.81844663619995
Urn_10;IDSTB;532.0;28.72070336341858
Urn_10;IDSTC;502.0;29.03196668624878
Urn_10;IDAN_0;454.0;28.50567102432251
Urn_10;IDAN_1;434.0;29.18191695213318
Urn_10;IDAN_2;422.0;29.316768646240234
Urn_10;IDAN_3;422.0;29.362674951553345
Urn_10;IDAN_4;442.0;30.641314029693604
Urn_10;IDAN_5;474.0;18.573391437530518
Urn_10;IDAN_6;506.0;14.836358785629272
Urn_10;IDAN_7;538.0;14.963017463684082
Urn_10;IDAN_8;570.0;16.620937824249268
Urn_10;IDAN_9;642.0;20.97741675376892
Urn_10;IDAN_10;754.0;15.030430316925049
Urn_10;ANUN_0;865.0;16.43096137046814
Urn_10;ANUN_1;865.0;29.634746313095093
Urn_10;ANUN_2;865.0;34.49789094924927
Urn_10;ANUN_3;875.0;36.47948169708252
Urn_10;ANUN_4;893.0;37.772090435028076
Urn_10;ANUN_5;909.0;38.300474882125854
Urn_10;ANUN_6;922.0;38.88158559799194
Urn_10;ANUN_7;937.0;31.820183038711548
Urn_10;ANUN_8;933.0;20.37662100791931
Urn_10;ANUN_9;971.0;20.643813848495483
Urn_10;ANUN_10;988.0;20.864603519439697
Urn_10;Irish_0;786.0;20.67138957977295
Urn_10;Irish_1;705.0;24.43023705482483
Urn_10;Irish_2;765.0;20.711211919784546
Urn_10;Irish_3;779.0;21.502233266830444
Urn_10;Irish_4;725.0;20.70263385772705
Urn_10;Irish_5;732.0;23.17353320121765
Urn_10;Irish_6;764.0;24.59553289413452
Urn_10;Irish_7;680.0;20.434166431427002
Urn_10;Sushi_0;721.0;24.896170139312744
Urn_10;Sushi_1;685.0;20.360727310180664
Urn_10;Sushi_2;679.0;20.04309344291687
Urn_10;Sushi_3;744.0;34.539302110672
Urn_10;Sushi_4;770.0;40.742817878723145
Urn_10;Sushi_5;671.0;31.485706567764282
Urn_10;Sushi_6;748.0;21.17137575149536
Urn_10;Sushi_7;740.0;22.3392596244812
Urn_10;Grenoble_0;570.0;20.845807790756226
Urn_10;Grenoble_1;595.0;23.34637761116028
Urn_10;Grenoble_2;593.0;19.479273557662964
Urn_10;Grenoble_3;614.0;19.797781705856323
Urn_10;Grenoble_4;619.0;22.465956211090088
Urn_10;Grenoble_5;593.0;37.68026900291443
Urn_10;Grenoble_6;623.0;38.61252427101135
Urn_10;Grenoble_7;618.0;37.84553098678589
Urn_11;Urn_12;479.0;28.511757135391235
Urn_11;Urn_13;860.0;29.952564001083374
Urn_11;Urn_14;464.0;29.339717149734497
Urn_11;Urn_15;552.0;29.07271099090576
Urn_11;Urn_16;358.0;28.3681857585907
