instance_id;x;y
5-Cube_3;28.2085;-281.36991
5-Cube_4;-54.00964;-221.41618
5-Cube_5;10.76864;-114.7413
5-Cube_6;-142.31688;-297.66815
5-Cube_7;31.70267;16.64804
10-Cube_0;178.10349;-63.43764
10-Cube_1;-2.30438;-250.30835
10-Cube_2;-79.08057;-399.91457
10-Cube_3;-75.02638;-307.77689
10-Cube_4;54.2309;-293.07381
10-Cube_5;147.96479;-178.53096
10-Cube_6;224.83065;-99.7282
10-Cube_7;-32.79225;-389.179
Circle_0;-464.4863;-39.75656
Circle_1;-504.89674;21.76986
Circle_2;-397.9808;50.34276
Circle_3;-367.40055;24.38101
Circle_4;-491.28398;-49.96236
Circle_5;-512.61226;-69.38318
Circle_6;-435.3568;16.16948
Circle_7;-481.30789;-49.50998
Circle_8;-491.13421;-13.93033
Circle_9;-462.93372;-26.21015
Circle_10;-369.25403;69.90233
Circle_11;-533.30638;48.94977
Circle_12;-474.201;11.4501
Circle_13;-477.31169;-32.63569
Circle_14;-524.34884;-29.98027
Circle_15;-455.16918;5.31235
Sphere_0;-418.75216;-135.41267
Sphere_1;-349.97322;-291.9183
Sphere_2;-411.10362;-219.08413
Sphere_3;-442.05533;-184.21457
Sphere_4;-407.43147;-176.50304
Sphere_5;-426.37291;-206.44562
Sphere_6;-276.28192;-174.79943
Sphere_7;-283.05591;-247.90555
Sphere_8;-388.66674;-198.28286
Sphere_9;-397.022;-168.50514
Sphere_10;-340.80754;-221.53228
Sphere_11;-275.42885;-215.00154
Sphere_12;-380.43847;-230.27575
Sphere_13;-346.7245;-239.62468
Sphere_14;-375.72271;-175.94014
Sphere_15;-320.69439;-117.2632
Urn_0;87.55176;502.20146
Urn_1;427.81944;369.08045
Urn_2;455.49758;333.9072
Urn_3;27.65405;-362.29427
Urn_4;184.99497;-467.60311
Urn_5;485.68971;519.31724
Urn_6;311.01608;469.85181
Urn_7;-103.73654;-392.93137
Urn_8;179.89621;507.67105
Urn_9;-225.81534;427.90485
Urn_10;343.40584;426.44496
Urn_11;331.96625;538.29584
Urn_12;254.455;488.85691
Urn_13;-444.87367;-305.06863
Urn_14;130.07578;475.46197
Urn_15;-34.15775;521.93896
Urn_16;678.0886;446.47857
Urn_17;508.64534;475.80779
Urn_18;-190.01144;-207.56812
Urn_19;-314.78093;214.11205
Urn_20;520.34967;417.50714
Urn_21;566.80313;461.39169
Urn_22;-30.31521;473.78603
Urn_23;685.71357;443.72625
Urn_24;298.45803;546.37955
Urn_25;256.72111;-369.43564
Urn_26;-2.82641;-456.03354
Urn_27;159.43096;-520.5968
Urn_28;346.26886;492.5762
Urn_29;252.24821;-429.92295
Urn_30;110.0552;575.75995
Urn_31;388.49708;-214.6778
Urn_32;482.16233;436.53077
Urn_33;320.41992;404.21888
Urn_34;-1.77257;453.86588
Urn_35;78.96387;420.02117
Urn_36;-378.37931;305.99238
Urn_37;38.59538;451.17629
Urn_38;44.53143;559.73815
Urn_39;722.45332;447.46933
Urn_40;380.76098;-295.29188
Urn_41;396.59074;-240.56484
Urn_42;75.70624;-538.08138
Urn_43;597.81996;392.17732
Urn_44;-82.65868;444.17795
Urn_45;-210.94843;493.95165
Urn_46;-163.4729;450.60978
Urn_47;243.3809;-199.41179
Mallows_0;182.40362;-407.11249
Mallows_1;380.20002;-72.72018
Mallows_2;656.94606;343.42461
Mallows_3;441.29208;-74.64907
Mallows_4;392.17223;-168.60614
Mallows_5;676.03331;389.37267
Mallows_6;640.93773;325.30945
Mallows_7;415.55619;-94.21205
Mallows_8;33.10194;-513.04427
Mallows_9;104.28387;-466.14516
Mallows_10;431.43033;-40.17596
Mallows_11;573.6119;203.22033
Mallows_12;81.8988;-466.066
Mallows_13;403.17949;-65.74258
Mallows_14;551.83378;153.26934
Mallows_15;344.17533;-207.48689
Mallows_16;106.87266;-542.74994
Mallows_17;653.25469;350.29499
Mallows_18;489.28844;48.30874
Mallows_19;543.9638;130.86034
Mallows_20;200.96014;-394.96588
Mallows_21;575.61205;199.17939
Mallows_22;409.71681;-86.96921
Mallows_23;353.61638;-189.59938
Mallows_24;518.04042;92.77851
Mallows_25;665.26528;365.42271
Mallows_26;131.7749;-459.16642
Mallows_27;608.64374;253.40986
Mallows_28;632.96038;300.00921
Mallows_29;-92.35051;-482.16576
Mallows_30;49.10097;-537.70041
Mallows_31;443.83781;-9.72917
Mallows_32;683.65103;399.44285
Mallows_33;10.01808;-545.69398
Mallows_34;389.35015;-119.10194
Mallows_35;90.98383;-448.72917
Mallows_36;255.46671;-336.44097
Mallows_37;645.52488;318.91799
Mallows_38;369.91666;-150.42104
Mallows_39;331.76401;-257.63427
Mallows_40;615.19198;276.00761
Mallows_41;220.27921;-382.7776
Mallows_42;693.94238;417.49544
Mallows_43;197.01969;-421.98544
Mallows_44;147.25879;-490.63179
Mallows_45;616.1097;255.97361
Mallows_46;411.59981;-115.77498
Mallows_47;680.23673;404.61786
UN_0;-196.32446;-562.63409
UN_1;-184.13496;-588.1799
UN_2;-164.44971;-606.78148
UN_3;-148.08836;-613.32535
ID;722.45574;447.46541
AN;-553.39592;425.27832
UNSTA;335.25647;-478.81511
UNSTB;529.12676;-280.54208
UNSTC;597.1212;-114.9372
ST_0;607.98894;-31.46046
ST_1;601.59383;-19.23721
ST_2;603.01714;-29.32746
ST_3;606.32027;-34.43451
IDSTA;659.9259;147.01948
IDSTB;679.37735;269.4312
IDSTC;688.36538;377.88655
IDAN_0;642.0038;471.73494
IDAN_1;545.47017;514.46636
IDAN_2;435.16902;559.12989
IDAN_3;300.35858;604.76546
IDAN_4;163.08753;628.19993
IDAN_5;8.34714;631.36543
IDAN_6;-122.23613;608.50069
IDAN_7;-237.18689;573.02795
IDAN_8;-335.0095;529.75268
IDAN_9;-413.10774;491.08368
IDAN_10;-484.98962;455.82654
ANUN_0;-544.26351;377.75913
ANUN_1;-541.18436;335.9616
ANUN_2;-534.41602;286.30856
ANUN_3;-539.82238;237.02748
ANUN_4;-582.5776;34.31741
ANUN_5;-550.37831;-166.53254
ANUN_6;-491.33645;-270.64072
ANUN_7;-438.20028;-340.41819
ANUN_8;-407.92574;-355.10616
ANUN_9;-378.79252;-459.22692
ANUN_10;-213.37698;-572.04963
Irish_0;90.32124;-375.9074
Irish_1;135.51458;-248.91342
Irish_2;138.80932;-348.47931
Irish_3;-80.57892;-271.43986
Irish_4;89.89348;-239.22587
Irish_5;100.46987;-254.0453
Irish_6;169.81524;-349.15003
Irish_7;270.93445;-261.02455
Sushi_0;284.37675;-299.11972
Sushi_1;302.58231;-223.97704
Sushi_2;217.01843;-189.68704
Sushi_3;171.30501;-247.25974
Sushi_4;124.92129;-310.56829
Sushi_5;220.4195;-174.01327
Sushi_6;234.59982;-306.24783
Sushi_7;129.17699;-282.86442
Grenoble_0;292.9218;-41.60083
Grenoble_1;321.77508;-103.11629
Grenoble_2;317.4563;-77.14199
Grenoble_3;271.30845;-92.7539
Grenoble_4;257.07399;-113.13719
Grenoble_5;286.1908;-62.94416
Grenoble_6;249.28377;-152.33719
Grenoble_7;352.08013;-124.93219
